Time(s),Temperature3(C)
0.0000,23.88
0.5000,23.92
1.0000,23.98
1.5000,24.03
2.0000,24.10
2.5000,24.18
3.0000,24.25
3.5000,24.33
4.0000,24.41
4.5000,24.50
5.0000,24.58
5.5000,24.67
6.0000,24.76
6.5000,24.85
7.0000,24.94
7.5000,25.05
8.0000,25.14
8.5000,25.23
9.0000,25.32
9.5000,25.41
10.0000,25.49
10.5000,25.58
11.0000,25.67
11.5000,25.75
12.0000,25.83
12.5000,25.92
13.0000,26.00
13.5000,26.08
14.0000,26.15
14.5000,26.24
15.0000,26.32
15.5000,26.38
16.0000,26.46
16.5000,26.53
17.0000,26.60
17.5000,26.67
18.0000,26.74
18.5000,26.81
19.0000,26.87
19.5000,26.94
20.0000,27.01
20.5000,27.07
21.0000,27.13
21.5000,27.19
22.0000,27.25
22.5000,27.31
23.0000,27.37
23.5000,27.43
24.0000,27.48
24.5000,27.53
25.0000,27.58
25.5000,27.64
26.0000,27.69
26.5000,27.74
27.0000,27.78
27.5000,27.84
28.0000,27.88
28.5000,27.93
29.0000,27.97
29.5000,28.02
30.0000,28.06
30.5000,28.10
31.0000,28.14
31.5000,28.19
32.0000,28.23
32.5000,28.27
33.0000,28.31
33.5000,28.34
34.0000,28.38
34.5000,28.43
35.0000,28.47
35.5000,28.52
36.0000,28.56
36.5000,28.59
37.0000,28.62
37.5000,28.66
38.0000,28.69
38.5000,28.72
39.0000,28.75
39.5000,28.78
40.0000,28.82
40.5000,28.85
41.0000,28.89
41.5000,28.92
42.0000,28.94
42.5000,28.98
43.0000,29.01
43.5000,29.04
44.0000,29.07
44.5000,29.10
45.0000,29.13
45.5000,29.16
46.0000,29.18
46.5000,29.21
47.0000,29.24
47.5000,29.28
48.0000,29.30
48.5000,29.33
49.0000,29.35
49.5000,29.37
50.0000,29.41
50.5000,29.42
51.0000,29.46
51.5000,29.48
52.0000,29.52
52.5000,29.54
53.0000,29.56
53.5000,29.59
54.0000,29.61
54.5000,29.61
55.0000,29.64
55.5000,29.66
56.0000,29.68
56.5000,29.71
57.0000,29.72
57.5000,29.75
58.0000,29.77
58.5000,29.79
59.0000,29.81
59.5000,29.84
60.0000,29.86
60.5000,29.88
61.0000,29.90
61.5000,29.92
62.0000,29.94
62.5000,29.96
63.0000,30.00
63.5000,30.02
64.0000,30.05
64.5000,30.06
65.0000,30.08
65.5000,30.10
66.0000,30.11
66.5000,30.13
67.0000,30.15
67.5000,30.17
68.0000,30.19
68.5000,30.21
69.0000,30.23
69.5000,30.24
70.0000,30.26
70.5000,30.28
71.0000,30.29
71.5000,30.31
72.0000,30.32
72.5000,30.35
73.0000,30.36
73.5000,30.39
74.0000,30.40
74.5000,30.42
75.0000,30.44
75.5000,30.45
76.0000,30.47
76.5000,30.49
77.0000,30.50
77.5000,30.50
78.0000,30.53
78.5000,30.58
79.0000,30.59
79.5000,30.61
80.0000,30.62
80.5000,30.63
81.0000,30.65
81.5000,30.67
82.0000,30.68
82.5000,30.69
83.0000,30.71
83.5000,30.73
84.0000,30.74
84.5000,30.76
85.0000,30.77
85.5000,30.79
86.0000,30.80
86.5000,30.82
87.0000,30.83
87.5000,30.84
88.0000,30.86
88.5000,30.87
89.0000,30.89
89.5000,30.90
90.0000,30.92
90.5000,30.93
91.0000,30.95
91.5000,30.96
92.0000,30.97
92.5000,30.99
93.0000,31.00
93.5000,31.01
94.0000,31.03
94.5000,31.04
95.0000,31.06
95.5000,31.07
96.0000,31.09
96.5000,31.09
97.0000,31.11
97.5000,31.13
98.0000,31.14
98.5000,31.15
99.0000,31.17
99.5000,31.18
100.0000,31.19
100.5000,31.21
101.0000,31.23
101.5000,31.24
102.0000,31.24
102.5000,31.25
103.0000,31.25
103.5000,31.24
104.0000,31.23
104.5000,31.21
105.0000,31.17
105.5000,31.13
106.0000,31.10
106.5000,31.06
107.0000,31.00
107.5000,30.94
108.0000,30.89
108.5000,30.83
109.0000,30.77
109.5000,30.72
110.0000,30.65
110.5000,30.58
111.0000,30.52
111.5000,30.45
112.0000,30.39
112.5000,30.32
113.0000,30.26
113.5000,30.20
114.0000,30.13
114.5000,30.06
115.0000,30.00
115.5000,29.93
116.0000,29.88
116.5000,29.82
117.0000,29.76
117.5000,29.70
118.0000,29.64
118.5000,29.58
119.0000,29.52
119.5000,29.47
120.0000,29.41
120.5000,29.36
121.0000,29.31
121.5000,29.26
122.0000,29.21
122.5000,29.16
123.0000,29.11
123.5000,29.06
124.0000,29.01
124.5000,28.96
125.0000,28.92
125.5000,28.87
126.0000,28.83
126.5000,28.78
127.0000,28.74
127.5000,28.70
128.0000,28.66
128.5000,28.62
129.0000,28.58
129.5000,28.54
130.0000,28.50
130.5000,28.46
131.0000,28.43
131.5000,28.40
132.0000,28.36
132.5000,28.33
133.0000,28.29
133.5000,28.26
134.0000,28.23
134.5000,28.20
135.0000,28.17
135.5000,28.14
136.0000,28.11
136.5000,28.08
137.0000,28.05
137.5000,28.02
138.0000,27.99
138.5000,27.96
139.0000,27.94
139.5000,27.90
140.0000,27.88
140.5000,27.86
141.0000,27.83
141.5000,27.81
142.0000,27.78
142.5000,27.75
143.0000,27.73
143.5000,27.71
144.0000,27.68
144.5000,27.66
145.0000,27.64
145.5000,27.63
146.0000,27.60
146.5000,27.58
147.0000,27.56
147.5000,27.54
148.0000,27.52
148.5000,27.50
149.0000,27.47
149.5000,27.46
150.0000,27.44
150.5000,27.42
151.0000,27.41
151.5000,27.38
152.0000,27.37
152.5000,27.35
153.0000,27.33
153.5000,27.32
154.0000,27.30
154.5000,27.28
155.0000,27.26
155.5000,27.25
156.0000,27.23
156.5000,27.22
157.0000,27.21
157.5000,27.19
158.0000,27.17
158.5000,27.15
159.0000,27.14
159.5000,27.13
160.0000,27.11
160.5000,27.10
161.0000,27.08
161.5000,27.07
162.0000,27.05
162.5000,27.04
163.0000,27.03
163.5000,27.02
164.0000,27.01
164.5000,26.99
165.0000,26.97
165.5000,26.97
166.0000,26.96
166.5000,26.94
167.0000,26.93
167.5000,26.92
168.0000,26.90
168.5000,26.90
169.0000,26.88
169.5000,26.88
170.0000,26.86
170.5000,26.85
171.0000,26.84
171.5000,26.83
172.0000,26.82
172.5000,26.80
173.0000,26.80
173.5000,26.79
174.0000,26.78
174.5000,26.76
175.0000,26.75
175.5000,26.74
176.0000,26.73
176.5000,26.73
177.0000,26.71
177.5000,26.71
178.0000,26.70
178.5000,26.68
179.0000,26.68
179.5000,26.68
180.0000,26.66
180.5000,26.66
181.0000,26.64
181.5000,26.64
182.0000,26.63
182.5000,26.62
183.0000,26.61
183.5000,26.60
184.0000,26.60
184.5000,26.58
185.0000,26.58
185.5000,26.57
186.0000,26.56
186.5000,26.55
187.0000,26.55
187.5000,26.55
188.0000,26.54
188.5000,26.52
189.0000,26.52
189.5000,26.51
190.0000,26.50
190.5000,26.50
191.0000,26.49
191.5000,26.48
192.0000,26.48
192.5000,26.47
193.0000,26.46
193.5000,26.46
194.0000,26.44
194.5000,26.44
195.0000,26.44
195.5000,26.43
196.0000,26.42
196.5000,26.41
197.0000,26.41
197.5000,26.40
198.0000,26.38
198.5000,26.39
199.0000,26.38
199.5000,26.38
200.0000,26.36
200.5000,26.36
201.0000,26.35
201.5000,26.35
202.0000,26.34
202.5000,26.34
203.0000,26.33
203.5000,26.32
204.0000,26.32
204.5000,26.31
205.0000,26.31
205.5000,26.30
206.0000,26.30
206.5000,26.29
207.0000,26.29
207.5000,26.27
208.0000,26.27
208.5000,26.26
209.0000,26.25
209.5000,26.25
210.0000,26.25
210.5000,26.24
211.0000,26.23
211.5000,26.23
212.0000,26.23
212.5000,26.22
213.0000,26.22
213.5000,26.21
214.0000,26.20
214.5000,26.20
215.0000,26.20
215.5000,26.19
216.0000,26.18
216.5000,26.18
217.0000,26.17
217.5000,26.17
218.0000,26.16
218.5000,26.16
219.0000,26.15
219.5000,26.15
220.0000,26.14
220.5000,26.14
221.0000,26.13
221.5000,26.13
222.0000,26.12
222.5000,26.12
223.0000,26.12
223.5000,26.11
224.0000,26.10
224.5000,26.10
225.0000,26.09
225.5000,26.09
226.0000,26.09
226.5000,26.08
227.0000,26.08
227.5000,26.07
228.0000,26.07
228.5000,26.05
229.0000,26.06
229.5000,26.05
230.0000,26.05
230.5000,26.04
231.0000,26.04
231.5000,26.03
232.0000,26.03
232.5000,26.03
233.0000,26.02
233.5000,26.01
234.0000,26.02
234.5000,26.01
235.0000,26.01
235.5000,26.00
236.0000,25.99
236.5000,25.99
237.0000,26.00
237.5000,25.99
238.0000,25.98
238.5000,25.98
239.0000,25.97
239.5000,25.97
240.0000,25.97
240.5000,25.96
241.0000,25.95
241.5000,25.96
242.0000,25.96
242.5000,25.94
243.0000,25.95
243.5000,25.94
244.0000,25.94
244.5000,25.93
245.0000,25.93
245.5000,25.93
246.0000,25.92
246.5000,25.92
247.0000,25.91
247.5000,25.91
248.0000,25.92
248.5000,25.90
249.0000,25.90
249.5000,25.90
250.0000,25.89
250.5000,25.89
251.0000,25.88
251.5000,25.88
252.0000,25.88
252.5000,25.88
253.0000,25.87
253.5000,25.86
254.0000,25.86
254.5000,25.86
255.0000,25.85
255.5000,25.86
256.0000,25.85
256.5000,25.85
257.0000,25.84
257.5000,25.84
258.0000,25.83
258.5000,25.83
259.0000,25.83
259.5000,25.82
260.0000,25.83
260.5000,25.82
261.0000,25.82
261.5000,25.81
262.0000,25.82
262.5000,25.81
263.0000,25.81
263.5000,25.80
264.0000,25.80
264.5000,25.79
265.0000,25.80
265.5000,25.79
266.0000,25.79
266.5000,25.78
267.0000,25.78
267.5000,25.78
268.0000,25.77
268.5000,25.77
269.0000,25.77
269.5000,25.77
270.0000,25.76
270.5000,25.76
271.0000,25.76
271.5000,25.75
272.0000,25.76
272.5000,25.75
273.0000,25.75
273.5000,25.74
274.0000,25.74
274.5000,25.73
275.0000,25.73
275.5000,25.73
276.0000,25.73
276.5000,25.72
277.0000,25.72
277.5000,25.72
278.0000,25.72
278.5000,25.72
279.0000,25.71
279.5000,25.71
280.0000,25.71
280.5000,25.70
281.0000,25.70
281.5000,25.70
282.0000,25.70
282.5000,25.69
283.0000,25.69
283.5000,25.70
284.0000,25.68
284.5000,25.68
285.0000,25.68
285.5000,25.68
286.0000,25.68
286.5000,25.68
287.0000,25.67
287.5000,25.66
288.0000,25.66
288.5000,25.66
289.0000,25.66
289.5000,25.66
290.0000,25.65
290.5000,25.65
291.0000,25.65
291.5000,25.65
292.0000,25.65
292.5000,25.64
293.0000,25.64
293.5000,25.64
294.0000,25.63
294.5000,25.63
295.0000,25.63
295.5000,25.62
296.0000,25.63
296.5000,25.62
297.0000,25.61
297.5000,25.62
298.0000,25.61
298.5000,25.61
299.0000,25.61
299.5000,25.61
300.0000,25.60
300.5000,25.60
301.0000,25.60
301.5000,25.59
302.0000,25.59
302.5000,25.59
303.0000,25.59
303.5000,25.59
304.0000,25.58
304.5000,25.52
305.0000,25.52
305.5000,25.60
306.0000,25.59
306.5000,25.51
307.0000,25.52
307.5000,25.52
308.0000,25.53
308.5000,25.53
309.0000,25.52
309.5000,25.51
310.0000,25.52
310.5000,25.51
311.0000,25.44
311.5000,25.44
312.0000,25.44
312.5000,25.44
313.0000,25.47
313.5000,25.50
314.0000,25.45
314.5000,25.45
315.0000,25.46
315.5000,25.45
316.0000,25.44
316.5000,25.44
317.0000,25.45
317.5000,25.45
318.0000,25.45
318.5000,25.44
319.0000,25.44
319.5000,25.45
